actual_price,predicted_price,residual
488795.75389128417,513280.77259326127,-24485.018701977096
353486.2970789109,358027.3934854391,-4541.096406528202
379989.9180867694,554499.0833348727,-174509.16524810332
460008.386582422,529492.3748603208,-69483.98827789881
375007.010708327,312095.74075831124,62911.26995001576
321997.8025099507,296741.86534434895,25255.93716560176
919973.367282293,641530.6821827885,278442.68509950454
286989.23921085306,441340.7518240726,-154351.51261321956
229992.04491934925,229405.87118297882,586.1737363704306
293989.69656222925,258392.38047606428,35597.31608616497
314991.2060133072,559924.7616344754,-244933.55562116823
385000.53389145073,322552.599797319,62447.93409413175
692525.2649081524,754073.0487972865,-61547.783889134065
348014.70026317565,604811.219538297,-256796.5192751214
226002.19712518045,331269.0313245397,-105266.83419935923
529982.8889462198,559199.4881751518,-29216.59922893194
889931.7025002599,686843.6117008064,203088.09079945344
465003.4016876277,319674.43811644986,145328.96357117785
826619.688970479,731368.6972655565,95250.9917049224
305010.0482107029,397524.928068272,-92514.87985756912
749004.2974003104,458268.04911262274,290736.24828768766
1150031.6250444886,1177175.2004047013,-27143.575360212708
409994.9001727164,614273.3774138526,-204278.4772411362
375007.010708327,466001.5836569344,-90994.57294860738
592496.3549562936,498149.6853701399,94346.6695861537
424981.1100595267,360840.7613794352,64140.3486800915
620015.6508443463,611814.3264577225,8201.324386623804
379989.9180867694,417370.35782383126,-37380.43973706185
552495.1864343095,592577.4936754426,-40082.30724113318
510017.33789744286,436578.9863871389,73438.35151030397
580009.6382169717,450176.94902241696,129832.6891945547
543019.2231288305,472663.6982346246,70355.52489420597
262498.3302391841,334978.6696154832,-72480.33937629912
574985.441311107,748093.7908136013,-173108.34950249433
574985.441311107,516297.6528605012,58687.78845060582
550014.5437275284,458096.17788740736,91918.36584012106
335004.7534133102,324717.7883824085,10286.965030901716
1095038.411923869,548779.1615834637,546259.2503404054
409994.9001727164,501925.3787118236,-91930.4785391072
592496.3549562936,532334.3115002338,60162.043456059764
664971.8580362194,588783.8685565545,76187.98947966483
328995.7132409971,417077.4630688216,-88081.74982782447
805001.967099839,912698.5294861404,-107696.56238630135
1437476.9259330777,1572630.2921823575,-135153.36624927982
313012.99930945504,359803.40334684384,-46790.4040373888
309960.4538196224,290154.86209429876,19805.59172532364
689002.3770569969,878743.6112197676,-189741.23416277068
869957.8141740499,1043887.6994206149,-173929.88524656498
240001.39144624295,301172.0749571317,-61170.683510888746
434999.4301195662,388907.7941027577,46091.63601680851
350004.04831045395,329981.2668410955,20022.781469358422
949034.0909774412,710832.2351641621,238201.85581327905
689002.3770569969,693642.5772271005,-4640.200170103577
244996.69508820938,404985.76026038814,-159989.06517217876
850007.1158332613,988457.6526112952,-138450.53677803394
478016.2467917236,554139.4425963388,-76123.19580461521
525024.3912403609,484680.0081428542,40344.38309750671
394983.7879988166,346097.40906062437,48886.37893819221
330017.18241123157,387137.3576286702,-57120.175217438606
845006.8391709592,875390.5494283404,-30383.7102573812
240001.39144624295,313223.91166336724,-73222.52021712429
520997.2279041777,453078.4165750216,67918.8113291561
444986.8454834047,497127.45876876,-52140.61328535533
299988.67412229633,510477.5991383289,-210488.9250160326
210007.81010831188,244666.83206015048,-34659.0219518386
732999.28102353,589651.192637464,143348.08838606603
267988.67469518003,349720.09635760164,-81731.4216624216
552329.4627381759,499440.04632096476,52889.41641721112
563994.624834784,429630.6119469003,134364.01288788364
384500.3583819142,437328.0471739236,-52827.68879200937
679967.308322311,616419.191400618,63548.11692169309
609016.110277635,526276.2072165436,82739.90306109143
929033.4280689423,977840.9965987599,-48807.568529817625
424981.1100595267,423612.20156308287,1368.9084964438225
184997.94576021977,347989.26771869743,-162991.32195847767
699975.0706260412,707993.5055251719,-8018.43489913072
807985.9914188251,763187.1926513427,44798.798767482396
714972.9580129466,562503.4602735775,152469.49773936917
326015.4330915721,394354.6009842082,-68339.16789263615
331008.7205219779,339896.8676115489,-8888.147089570994
389999.2129395211,306567.675678068,83431.53726145311
